input,name,quantity,unit,comment
750 g boneless skinless chicken thighs,boneless skinless chicken thighs,750,g,
2 leeks,leeks,2,,
1 brown onion,brown onion,1,,
smoked bacon,smoked bacon,,,
1 pint whole milk,whole milk,1,pint,
bunch of tarragon,of tarragon,,bunch,
block puff pastry,block puff pastry,,,
plain flour,plain flour,,,
1 egg,egg,1,,
pot of dijon mustard,pot of dijon mustard,,,
"6 boneless skinless chicken breasts, cubed",boneless skinless chicken breasts,6,,cubed
"3 carrots, chopped",carrots,3,,chopped
"3 potatoes, peeled and cubed",potatoes,3,,peeled and cubed
"2 sticks celery, chopped",celery,2,sticks,chopped
2 tsp chopped fresh thyme or 1 tsp dried,chopped fresh thyme or 1 tsp dried,2,tsp,
850 ml hot chicken stock,hot chicken stock,850,ml,
50 g butter,butter,50,g,
"2 onions, chopped",onions,2,,chopped
50 g plain flour,plain flour,50,g,
300 ml milk,milk,300,ml,
juice of 1 lemon,juice of 1 lemon,,,
2 tbsp chopped parsley,chopped parsley,2,tbsp,
"4 thin slices ham, cut into strips",ham,4,thin slices,cut into strips
1x 500 g pack shortcrust pastry,shortcrust pastry,1x,500 g pack,
"1 egg, beaten",egg,1,,beaten
400 g spaghetti,spaghetti,400,g,
1 tbsp olive oil,olive oil,1,tbsp,
"120 g smoked streaky bacon, sliced into matchsticks",smoked streaky bacon,120,g,sliced into matchsticks
"1 onion, finely chopped",onion,1,,finely chopped
"1 clove garlic, finely chopped",garlic,1,clove,finely chopped
2 tsp sweet smoked paprika,sweet smoked paprika,2,tsp,
2x 400 g can chopped tomatoes,chopped tomatoes,2x,400 g can,
"grated Parmesan, to serve (optional)",grated Parmesan,,,to serve (optional)
"3 shallots, finely chopped",shallots,3,,finely chopped
3 tbsp white wine vinegar,white wine vinegar,3,tbsp,
150 ml white wine,white wine,150,ml,
142 ml pot double cream,pot double cream,142,ml,
"900 g fresh haddock fillets, skinned",fresh haddock fillets,900,g,skinned
"1x 200 g bag raw peeled prawns, preferably unfrozen",raw peeled prawns,1x,200 g bag,preferably unfrozen
800 g fresh spinach (about 2 bags),fresh spinach (about 2 bags),800,g,
200 g crabmeat,crabmeat,200,g,
3 clove garlic,garlic,3,clove,
"1 red chilli, halved and deseeded",red chilli,1,,halved and deseeded
200 ml full-fat milk,full-fat milk,200,ml,
pinch saffron strands,saffron strands,,pinch,
"1250 g potato, cut into large chunks",potato,1250,g,cut into large chunks
4 tbsp olive oil,olive oil,4,tbsp,
zest and juice 1 lemon,zest and juice 1 lemon,,,
450 g minced turkey,minced turkey,450,g,
1 tbsp vegetable oil,vegetable oil,1,tbsp,
"1 small onion, chopped",onion,1,small,chopped
"3 cloves garlic, finely chopped",garlic,3,cloves,finely chopped
1 tbsp coarsely grated ginger,coarsely grated ginger,1,tbsp,
"1 red chilli, deseed and finely sliced",red chilli,1,,deseed and finely sliced
2 tsp each of ground cumin and coriander,each of ground cumin and coriander,2,tsp,
1 tbsp korma curry paste,korma curry paste,1,tbsp,
"500 g new potatoes, halved",new potatoes,500,g,halved
100 g spinach leaves,spinach leaves,100,g,
150 g 0% fat Greek yogurt,0% fat Greek yogurt,150,g,
"chapattis or naan bread, to serve",chapattis or naan bread,,,to serve
2 tbsp olive oil,olive oil,2,tbsp,
"1 large onion, chopped",onion,1,large,chopped
"2 cloves garlic, finely chopped",garlic,2,cloves,finely chopped
500 g turkey mince,turkey mince,500,g,
1x 400 g can chopped tomatoes,chopped tomatoes,1x,400 g can,
2 tbsp tomato puree,tomato puree,2,tbsp,
300 ml chicken or beef stock,chicken or beef stock,300,ml,
250 g spaghetti,spaghetti,250,g,
"1 large courgette, finely chopped",courgette,1,large,finely chopped
"6 tomatoes, deseeded and chopped",tomatoes,6,,deseeded and chopped
"small handful chopped flat-leaf parsley leaves, to serve",chopped flat-leaf parsley leaves,,small handful,to serve
90 ml olive oil,olive oil,90,ml,
"3 cloves garlic, crushed",garlic,3,cloves,crushed
"3 banana shallots, thinly sliced (180 g)",banana shallots,3,,thinly sliced (180 g)
600 g lamb mince,lamb mince,600,g,
2 tsp cumin seeds,cumin seeds,2,tsp,
1 tbsp ground allspice,ground allspice,1,tbsp,
2 lemons: finely grate the zest to get 2 tsp,lemons: finely grate the zest to get 2 tsp,2,,
3 tbsp tomato paste,tomato paste,3,tbsp,
3 tbsp rose harissa,rose harissa,3,tbsp,
"100 g dried apricots, quartered",dried apricots,100,g,quartered
280 ml chicken stock,chicken stock,280,ml,
220 ml white wine,white wine,220,ml,
"80 g pitted green olives, halved lengthways",pitted green olives,80,g,halved lengthways
670 g cooked butterbeans (either 3x 400g tins drained or 400 g uncooked beans soaked overnight and cooked),cooked butterbeans (either 3x 400g tins drained or 400 g uncooked beans soaked overnight and cooked),670,g,
4 tbsp tahini,tahini,4,tbsp,
salt and black pepper,salt and black pepper,,,
2 good pinches saffron threads,saffron threads,2,good pinches,
2 tbsp boiling water,boiling water,2,tbsp,
"600 g mini chicken fillets (or use boneless skinless chicken breasts), cut into thick strips",mini chicken fillets (or use boneless skinless chicken breasts),600,g,cut into thick strips
"40 g rosemary, leaves picked and very finely chopped",rosemary,40,g,leaves picked and very finely chopped
2 tbsp garlic oil,garlic oil,2,tbsp,
sea salt flakes and freshly ground black pepper,sea salt flakes and freshly ground black pepper,,,
vegetable oil,vegetable oil,,,
1.33 cups plain whole-milk yogurt,plain whole-milk yogurt,1.33,cups,
"1 tbsp minced or grated garlic, about 4 cloves, plus 1 teaspoon",minced or grated garlic,1,tbsp,"about 4 cloves, plus 1 teaspoon"
2 tsp lemon juice (from 1 lemon),lemon juice (from 1 lemon),2,tsp,
Kosher salt and black pepper,Kosher salt and black pepper,,,
"1 lb ground chicken, not 100% breast meat",ground chicken,1,lb,not 100% breast meat
0.5 cup panko bread crumbs,panko bread crumbs,0.5,cup,
"1 large egg, lightly beaten",egg,1,large,lightly beaten
"3 tbsp minced fresh parsley, plus more for serving",minced fresh parsley,3,tbsp,plus more for serving
"1 tbsp olive oil, plus more for frying",olive oil,1,tbsp,plus more for frying
1 tsp light brown or granulated sugar,light brown or granulated sugar,1,tsp,
1 tsp sweet paprika,sweet paprika,1,tsp,
0.5 tsp ground cumin,ground cumin,0.5,tsp,
0.5 teaspoon ground ginger,ground ginger,0.5,teaspoon,
0.25 teaspoon ground cinnamon,ground cinnamon,0.25,teaspoon,
3 tbsp toasted pine nuts (optional),toasted pine nuts (optional),3,tbsp,
250 g penne,penne,250,g,
300 g broccoli florets,broccoli florets,300,g,
25 g butter,butter,25,g,
25 g plain flour,plain flour,25,g,
600 ml milk,milk,600,ml,
100 g mascarpone cheese,mascarpone cheese,100,g,
"6 sun-dried tomatoes in oil, drained and thickly sliced",sun-dried tomatoes in oil,6,,drained and thickly sliced
"10 large leaves fresh basil, roughly torn",fresh basil,10,large leaves,roughly torn
"4 fresh salmon fillets, halved widthways",fresh salmon fillets,4,,halved widthways
"50 g mature cheddar cheese, finely grated",mature cheddar cheese,50,g,finely grated
"675 g lean boneless shin of beef, cut into 2.5cm cubes",lean boneless shin of beef,675,g,cut into 2.5cm cubes
15 g unsalted butter,unsalted butter,15,g,
175 g smoked bacon pieces or pancetta cubes,smoked bacon pieces or pancetta cubes,175,g,
"1 bulb garlic, cut in half",garlic,1,bulb,cut in half
"2 carrots, peeled and diced",carrots,2,,peeled and diced
"2 celery sticks, diced",celery sticks,2,,diced
"2 medium onions, peeled and finely chopped",onions,2,medium,peeled and finely chopped
200 g whole button mushrooms,whole button mushrooms,200,g,
"2 tbsp plain flour, seasoned with salt and freshly milled black pepper",plain flour,2,tbsp,seasoned with salt and freshly milled black pepper
2 tbsp oil,oil,2,tbsp,
2 bay leaves,bay leaves,2,,
1 sprig fresh thyme,fresh thyme,1,sprig,
"5 black peppercorns, crushed",black peppercorns,5,,crushed
2 tablespoons Worcestershire sauce,Worcestershire sauce,2,tablespoons,
"1-2 tbsp chilli sauce, optional",chilli sauce,1-2,tbsp,optional
1 L good quality stout,good quality stout,1,L,
150 ml cold water,cold water,150,ml,
175 g self-raising flour,self-raising flour,175,g,
salt,salt,,,
"75 g butter, cubed",butter,75,g,cubed
2 tbsp freshly chopped flat-leaf parsley,freshly chopped flat-leaf parsley,2,tbsp,
3-4 tbsp cold water,cold water,3-4,tbsp,
1 tsp olive oil,olive oil,1,tsp,
0.5 lb Italian sausage (removed from casing),Italian sausage (removed from casing),0.5,lb,
1 tsp minced garlic (about 2 cloves),minced garlic (about 2 cloves),1,tsp,
0.5 cup chicken broth,chicken broth,0.5,cup,
1 cup heavy cream,heavy cream,1,cup,
1 tsp lemon juice (or use a splash of white wine!),lemon juice (or use a splash of white wine!),1,tsp,
0.25 cup sundried tomatoes (I used tomatoes packed in oil; drain first),sundried tomatoes (I used tomatoes packed in oil; drain first),0.25,cup,
1 lbs potato gnocchi,potato gnocchi,1,lbs,
0.5 cup frozen spinach (or 1 cup fresh chopped spinach),frozen spinach (or 1 cup fresh chopped spinach),0.5,cup,
0.5 cup freshly grated Parmesan cheese,freshly grated Parmesan cheese,0.5,cup,
Kosher salt and freshly cracked black pepper (to taste),Kosher salt and freshly cracked black pepper (to taste),,,
1 onion,onion,1,,
2 carrots,carrots,2,,
2 sticks celery,celery,2,sticks,
800 g stewing/braising steak,stewing/braising steak,800,g,
2 heaped tsp plain flour,plain flour,2,heaped tsp,
500 ml bottle dark ale,dark ale,500,ml bottle,
500 ml beef stock,beef stock,500,ml,
few sprigs thyme,thyme,,few sprigs,
2 tbsp brown sauce,brown sauce,2,tbsp,
2 packs ready rolled shortcrust pastry,ready rolled shortcrust pastry,2,packs,
1.5 tbsp english mustard,english mustard,1.5,tbsp,
1 beaten egg,beaten egg,1,,
"spring onions, chopped",spring onions,,,chopped
"thumb-sized piece ginger, chopped",ginger,,thumb-sized piece,chopped
3 cloves garlic,garlic,3,cloves,
"1 red chilli, deseeded",red chilli,1,,deseeded
freshly chopped coriander,freshly chopped coriander,,,
1 tbsp thyme leaf,thyme leaf,1,tbsp,
zest and juice 1 lime,zest and juice 1 lime,,,
1 lime cut into wedges to serve,lime cut into wedges to serve,1,,
1.5 tsp ground allspice,ground allspice,1.5,tsp,
2 tbsp sunflower oil,sunflower oil,2,tbsp,
8 chicken drumsticks,chicken drumsticks,8,,
300 g long grain rice,long grain rice,300,g,
"1x 400 g can kidney beans, rinsed and drained",kidney beans,1x,400 g can,rinsed and drained
500 ml chicken stock,chicken stock,500,ml,
"1 ripe mango, peeled stoned and cut into bite-sized chunks",ripe mango,1,,peeled  stoned and cut into bite-sized chunks
"200 g mango chutney, plus extra to serve (optional)",mango chutney,200,g,plus extra to serve (optional)
1 tbsp olive oil,olive oil,1,tbsp,
"1 bulb fennel, trimmed and diced",fennel,1,bulb,trimmed and diced
"1 echalion shallot, finely sliced",echalion shallot,1,,finely sliced
"1 clove garlic, crushed",garlic,1,clove,crushed
150 g orzo pasta,orzo pasta,150,g,
100 ml white wine,white wine,100,ml,
"450 ml fish or vegetable stock, made using 1 stock pot or cube",fish or vegetable stock,450,ml,made using 1 stock pot or cube
100 g baby leaf spinach,baby leaf spinach,100,g,
"200 g raw seafood selection, defrosted",raw seafood selection,200,g,defrosted
"zest of 1 lemon, juice of &frac12; and wedges to serve",zest of 1 lemon,,,juice of &frac12; and wedges to serve
"0.5x 20 g pack dill, chopped (reserve some fronds for garnish)",dill,0.5x,20 g pack,chopped (reserve some fronds for garnish)
900 ml chicken or vegetable stock,chicken or vegetable stock,900,ml,
"1 boneless skinless chicken breast, about 175g",boneless skinless chicken breast,1,,about 175g
1 tsp chopped fresh root ginger,chopped fresh root ginger,1,tsp,
"1 clove garlic, finely chopped",garlic,1,clove,finely chopped
50 g rice or wheat noodles,rice or wheat noodles,50,g,
"2 tbsp sweetcorn, canned or frozen",sweetcorn,2,tbsp,canned or frozen
"2-3 mushrooms, thinly sliced",mushrooms,2-3,,thinly sliced
"2 spring onions, shredded",spring onions,2,,shredded
"2 tsp soy sauce, plus extra for serving",soy sauce,2,tsp,plus extra for serving
"mint or basil leaves and a little shredded chilli (optional), to serve",mint or basil leaves and a little shredded chilli (optional),,,to serve
1.5-2 lb boneless skinless chicken thighs or breasts,boneless skinless chicken thighs or breasts,1.5-2,lb,
Kosher salt (such as Diamond Crystal) and black pepper,Kosher salt (such as Diamond Crystal) and black pepper,,,
0.333 cups mayonnaise,mayonnaise,0.333,cups,
"1 tbsp lime zest (from about 2 limes), plus lime wedge, for serving",lime zest (from about 2 limes),1,tbsp,"plus lime wedge, for serving"
1 tbsp finely grated fresh ginger (from a 3-inch piece of peeled ginger),finely grated fresh ginger (from a 3-inch piece of peeled ginger),1,tbsp,
1.5 mugs basmati rice,basmati rice,1.5,mugs,
1 tbsp olive oil,olive oil,1,tbsp,
"1 onion, sliced",onion,1,,sliced
"3 chicken breasts, cut into bite-sized pieces",chicken breasts,3,,cut into bite-sized pieces
1 tbsp plain flour,plain flour,1,tbsp,
4 tbsp korma curry paste,korma curry paste,4,tbsp,
1x 400 g tin coconut milk,coconut milk,1x,400 g tin,
"250 g mushrooms, sliced",mushrooms,250,g,sliced
"Peshwari naan, to serve",Peshwari naan,,,to serve
"2 sticks celery, thickly sliced",celery,2,sticks,thickly sliced
"1 onion, chopped",onion,1,,chopped
"2 really big carrots, halved lengthways then very chunkily sliced",carrots,2,really big,halved lengthways then very chunkily sliced
5 bay leaves,bay leaves,5,,
"2 sprigs thyme, 1 whole and 1 leaves picked",thyme,2,sprigs,1 whole and 1 leaves picked
1 tbsp vegetable oil,vegetable oil,1,tbsp,
1 tbsp butter,butter,1,tbsp,
2 tbsp plain flour,plain flour,2,tbsp,
2 tbsp tomato puree,tomato puree,2,tbsp,
2 tbsp Worcestershire sauce,Worcestershire sauce,2,tbsp,
"2 beef stock cubes, crumbled",beef stock cubes,2,,crumbled
"850 g stewing beef (featherblade or brisket works nicely), cut into nice large chunks",stewing beef (featherblade or brisket works nicely),850,g,cut into nice large chunks
1 tbsp oil,oil,1,tbsp,
12 lamb meatballs,lamb meatballs,12,,
"1 onion, sliced",onion,1,,sliced
"2 large cloves garlic, crushed",garlic,2,large cloves,crushed
2 tsp ground cumin,ground cumin,2,tsp,
1 tsp ground coriander,ground coriander,1,tsp,
0.5 tsp ground cinnamon,ground cinnamon,0.5,tsp,
1 tbsp rose harrisa,rose harrisa,1,tbsp,
1x 400 g can chopped tomatoes,chopped tomatoes,1x,400 g can,
200 ml low-salt stock (lamb or beef),low-salt stock (lamb or beef),200,ml,
2x 400 g can chickpeas,chickpeas,2x,400 g can,
"small bunch parsley, finely chopped",parsley,,small bunch,finely chopped
"0.5 small bunch mint, chopped",mint,0.5,small bunch,chopped
50 g pomegranate seeds,pomegranate seeds,50,g,
1 red bell pepper,red bell pepper,1,,
1 zucchini,zucchini,1,,
1 yellow squash,yellow squash,1,,
0.5 red onion,red onion,0.5,,
"600 g boneless, skinless chicken breast","boneless, skinless chicken breast",600,g,
2 tbsp cooking oil,cooking oil,2,tbsp,
1 cup frozen green beans,frozen green beans,1,cup,
0.333 cup pesto,pesto,0.333,cup,
0.125 tsp salt,salt,0.125,tsp,
0.125 tsp freshly cracked pepper,freshly cracked pepper,0.125,tsp,
1 tbsp grated Parmesan,grated Parmesan,1,tbsp,
30 ml olive oil,olive oil,30,ml,
"1 small onion, finely chopped",onion,1,small,finely chopped
"1 large clove garlic, crushed",garlic,1,large clove,crushed
"8 slices pancetta and rindless streaky bacon, cut into 1 cm pieces",pancetta and rindless streaky bacon,8,slices,cut into 1 cm pieces
350 g dried spaghetti,dried spaghetti,350,g,
4 eggs,eggs,4,,
120 ml creme fraiche,creme fraiche,120,ml,
4 tbsp grated Parmesan cheese,grated Parmesan cheese,4,tbsp,
salt and ground black pepper,salt and ground black pepper,,,
"1.5 lbs cod fillet, 4-6 pieces",cod fillet,1.5,lbs,4-6 pieces
0.25 cups chopped fresh parsley leaf,chopped fresh parsley leaf,0.25,cups,
5 tbsps fresh lemon juice,fresh lemon juice,5,tbsps,
5 tbsps extra virgin olive oil,extra virgin olive oil,5,tbsps,
2 tbsps melted butter,melted butter,2,tbsps,
"5 cloves garlic, minced",garlic,5,cloves,minced
0.333 cups all-purpose flour,all-purpose flour,0.333,cups,
1 tsp ground coriander,ground coriander,1,tsp,
0.75 tsps sweet Spanish paprika,sweet Spanish paprika,0.75,tsps,
0.75 tsps ground cumin,ground cumin,0.75,tsps,
0.75 tsps salt,salt,0.75,tsps,
0.5 tsps black pepper,black pepper,0.5,tsps,
0.75 cup extra-virgin olive oil,extra-virgin olive oil,0.75,cup,
0.25 cup fresh lemon juice,fresh lemon juice,0.25,cup,
2 tbsp Dijon mustard,Dijon mustard,2,tbsp,
1 tsp honey,honey,1,tsp,
1 tsp freshly ground black pepper,freshly ground black pepper,1,tsp,
"1 tsp kosher salt, plus more",kosher salt,1,tsp,plus more
6 large eggs,eggs,6,large,
"0.5 lb green beans, trimmed",green beans,0.5,lb,trimmed
"0.5 lb baby potatoes, halved if larger",baby potatoes,0.5,lb,halved if larger
4 cups seedless cucumbers,seedless cucumbers,4,cups,
3 cups oil-packed tuna,oil-packed tuna,3,cups,
"Olives, capers, peperoncini, pickles, or other pickled-briny ingredients, for serving","Olives, capers, peperoncini, pickles, or other pickled-briny ingredients",,,for serving
Flaky sea salt,Flaky sea salt,,,
"2 tbsp ghee or smen, or 1 tablespoon olive oil plus 1 tablespoon butter",ghee or smen,2,tbsp,or 1 tablespoon olive oil plus 1 tablespoon butter
